"claim","expected","observed","pass","status"
"Participant × cue rows","56","56",TRUE,"PASS"
"Unique participants","28","28",TRUE,"PASS"
"Each participant has exactly two cue rows","2 per participant","2–2",TRUE,"PASS"
"No paired pod comparison survives Holm correction","All pHolm >= .05","Minimum pHolm = 0.400527",TRUE,"PASS"
"All six nutritional ratings are above zero after Holm correction","All pHolm < .001","Maximum pHolm = 8.57256e-05",TRUE,"PASS"
"Total open responses","56","56",TRUE,"PASS"
"Classifiable open responses","52","52",TRUE,"PASS"
"Non-classifiable open responses","4","4",TRUE,"PASS"
"Plain-water responses","4","4",TRUE,"PASS"
"Beverage-like responses","48","48",TRUE,"PASS"
"Caloric/nutrient-related responses","22","22",TRUE,"PASS"
"Beverage-like percentage","92.3%","92.3%",TRUE,"PASS"
"Complete pairs for categorical analyses","24","24",TRUE,"PASS"
"Bowker chi-square","4.6667","4.6666667",TRUE,"PASS"
"Bowker degrees of freedom","3","3",TRUE,"PASS"
"Bowker p value",".197897","0.1978971",TRUE,"PASS"
"Non-caloric to caloric transitions","6","6",TRUE,"PASS"
"Caloric to non-caloric transitions","1","1",TRUE,"PASS"
"Exact McNemar p value",".125","0.125000",TRUE,"PASS"
