"measure","cue","n","mean","sd","median","q1","q3","minimum","maximum"
"Intensity","Peach smoothie",28,30.3928571428571,23.4652450417149,25,14,36.25,1,83
"Intensity","Chocolate-orange",28,28.5357142857143,22.693582292108,25,7.5,48.25,1,78
"Pleasantness","Peach smoothie",28,24.1071428571429,20.102218940933,18.5,11.5,35.25,0,98
"Pleasantness","Chocolate-orange",28,26.8571428571429,22.0550057905973,25,8.25,40.25,0,77
"Calories","Peach smoothie",28,13,17.3418782356682,8,2.75,13,0,72
"Calories","Chocolate-orange",28,16.2142857142857,18.6435514476725,10,4.75,21,0,76
"Sugar","Peach smoothie",28,16.6071428571429,20.3148172263941,9,2.5,22,0,74
"Sugar","Chocolate-orange",28,15.3928571428571,17.6516483035066,8.5,2,24,0,73
"Fat","Peach smoothie",28,7.25,12.5303335653629,3,0.75,7.5,0,62
"Fat","Chocolate-orange",28,9.82142857142857,14.2544432875912,4.5,1,13.5,0,65
