"measure","condition_label","n","mean","sd","median","q1","q3","minimum","maximum"
"Bitterness","Olfactory Pod",47,4.97234042553191,8.80347515689758,0.8,0,5.15,0,32
"Bitterness","Water Control",47,1.36808510638298,3.94605506820357,0,0,1.1,0,25.5
"Calories","Olfactory Pod",47,25.2042553191489,19.7050860510991,19.7,11.65,33.35,0,72.1
"Calories","Water Control",47,7.92553191489362,10.4308169692358,4.6,0,9.9,0,44.5
"Estimated amount consumed (ml)","Olfactory Pod",47,203.831914893617,101.54192988374,177.6,136.05,254.35,37.5,500
"Estimated amount consumed (ml)","Water Control",47,234.882978723404,110.884586138508,212.2,172.9,270,51.6,500
"Fat","Olfactory Pod",47,11.1595744680851,17.2126174597295,4.2,0,13.35,0,73.2
"Fat","Water Control",47,2.79148936170213,5.91794727143568,0.1,0,2.4,0,24.8
"Intensity","Olfactory Pod",47,31.1893617021277,22.1585907773011,24,16.9,45.2,0,100
"Intensity","Water Control",47,14.5191489361702,16.5274953821736,8.8,2.6,22.75,0,58.7
"Pleasantness","Olfactory Pod",47,43.6531914893617,23.6899524754403,43,22.45,59.1,0,100
"Pleasantness","Water Control",47,45.9914893617021,23.5311341379997,49.2,33.6,58.05,0,100
"Saltiness","Olfactory Pod",47,5.07659574468085,11.4555134393493,0.3,0,3.2,0,52.9
"Saltiness","Water Control",47,4.33829787234043,10.7224784852134,0.5,0,3.05,0,55.1
"Sourness","Olfactory Pod",47,3.81914893617021,6.9593427443874,0,0,2.6,0,23.1
"Sourness","Water Control",47,1.01489361702128,3.53436414079548,0,0,0.6,0,23.6
"Sugar","Olfactory Pod",47,31.7595744680851,24.5974164388693,24.9,10.5,47.7,0,84
"Sugar","Water Control",47,8.46595744680851,13.7938120435869,1.6,0,11.8,0,50.8
"Sweetness","Olfactory Pod",47,39.8829787234043,22.9477887458819,43.4,19.55,59.9,0,80.8
"Sweetness","Water Control",47,14.0063829787234,20.3971694994494,2.7,0,22.1,0,73.1
