"analysis_family","effect","moderator","method","coefficient","p","p_adjusted","adjustment"
"Nutritional effects versus olfactory identification","diff_kcal","Sniffin' Sticks identification performance","Spearman",-0.14833247815071,0.319711204000372,1,"Holm"
"Nutritional effects versus olfactory identification","diff_sugar","Sniffin' Sticks identification performance","Spearman",-0.0749485808425902,0.616588766372406,1,"Holm"
"Nutritional effects versus olfactory identification","diff_fat","Sniffin' Sticks identification performance","Spearman",-0.0729398309485847,0.626091815018764,1,"Holm"
"Nutritional effects versus olfactory identification","nutritional_composite_raw","Sniffin' Sticks identification performance","Spearman",-0.106385288385902,0.476635054989906,1,"Holm"
"Nutritional effects versus olfactory identification","nutritional_composite_z","Sniffin' Sticks identification performance","Spearman",-0.108436961559538,0.468125873564297,1,"Holm"
"Taste effects versus olfactory identification","diff_sweet","Sniffin' Sticks identification performance","Pearson",-0.0518163771739979,0.729416325505223,1,"Holm"
"Taste effects versus olfactory identification","diff_salt","Sniffin' Sticks identification performance","Pearson",0.198661488993018,0.180678893606523,0.722715574426091,"Holm"
"Taste effects versus olfactory identification","diff_sour","Sniffin' Sticks identification performance","Pearson",-0.0958371013560115,0.52164514540309,1,"Holm"
"Taste effects versus olfactory identification","diff_bitter","Sniffin' Sticks identification performance","Pearson",-0.0248542659778486,0.868291108519165,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_noticing","Spearman",-0.0851800689056417,0.569168438572748,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_not_distracting","Spearman",0.139633051993856,0.349223923152181,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_not_worrying","Spearman",-0.0629567455857349,0.674189642646085,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_attention_regulation","Spearman",-0.0369759683197035,0.805099549207016,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_emotional_awareness","Spearman",-0.0274150530798135,0.854859670466481,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_self_regulation","Spearman",-0.100889282992779,0.49982693245619,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_body_listening","Spearman",0.203167724261922,0.170788264227345,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","maia_trusting","Spearman",0.0390077265669067,0.794615821866038,1,"Holm"
"Estimated-intake effect versus MAIA/TAS","diff_ingested_estimate","tas","Spearman",-0.23661814065519,0.109305301946447,0.983747717518024,"Holm"
"Estimated-intake effect versus nutritional attribution","diff_ingested_estimate","diff_kcal","Pearson",0.179815204953591,0.226492487706853,0.90596995082741,"Holm"
"Estimated-intake effect versus nutritional attribution","diff_ingested_estimate","diff_sugar","Pearson",0.064527805630605,0.666528221036511,1,"Holm"
"Estimated-intake effect versus nutritional attribution","diff_ingested_estimate","diff_fat","Pearson",0.0356005307246129,0.812216097805166,1,"Holm"
"Estimated-intake effect versus nutritional attribution","diff_ingested_estimate","nutritional_composite_z","Pearson",0.109111013133053,0.46534813934994,1,"Holm"
"Global robustness matrix","diff_bitter","maia_attention_regulation","Spearman",-0.0123873639301185,0.934137947574744,0.978544339794183,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_body_listening","Spearman",0.251562366277067,0.0880571307557358,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_emotional_awareness","Spearman",0.190293882044298,0.200121989678413,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_not_distracting","Spearman",-0.143622457340953,0.335488441715527,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_not_worrying","Spearman",0.0200436235240584,0.893619780728756,0.961455029331676,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_noticing","Spearman",0.106044303548852,0.478057155208196,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_self_regulation","Spearman",0.0508407379054851,0.73432302644184,0.928454401248304,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","maia_trusting","Spearman",0.23216378373656,0.116341316928731,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","sniffing","Spearman",0.240628962791492,0.103252306324499,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_bitter","tas","Spearman",0.0831646551619705,0.578375168437876,0.908875264688091,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_attention_regulation","Spearman",-0.205437968143004,0.165956505994887,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_body_listening","Spearman",-0.0163325055987235,0.913232535433435,0.965919027862287,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_emotional_awareness","Spearman",-0.26817337138553,0.0683728653119862,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_not_distracting","Spearman",-0.116352152962623,0.436073058840625,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_not_worrying","Spearman",-0.124741978429242,0.403475665358966,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_noticing","Spearman",-0.127215354101328,0.394142167822184,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_self_regulation","Spearman",-0.125344030841475,0.40119207424429,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","maia_trusting","Spearman",-0.00577171063500972,0.969286122736644,0.992723331816257,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","sniffing","Spearman",-0.0729398309485847,0.626091815018764,0.91488042086778,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_fat","tas","Spearman",-0.0864625173631649,0.563345448039473,0.907369974536265,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_attention_regulation","Spearman",-0.0369759683197035,0.805099549207016,0.942137770348636,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_body_listening","Spearman",0.203167724261922,0.170788264227345,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_emotional_awareness","Spearman",-0.0274150530798135,0.854859670466481,0.959536364809315,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_not_distracting","Spearman",0.139633051993856,0.349223923152181,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_not_worrying","Spearman",-0.0629567455857349,0.674189642646085,0.921517108569865,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_noticing","Spearman",-0.0851800689056417,0.569168438572748,0.907369974536265,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_self_regulation","Spearman",-0.100889282992779,0.49982693245619,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","maia_trusting","Spearman",0.0390077265669067,0.794615821866038,0.942137770348636,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","sniffing","Spearman",-0.0308354409331798,0.836983425450806,0.949156461851429,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_ingested_estimate","tas","Spearman",-0.23661814065519,0.109305301946447,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_attention_regulation","Spearman",-0.113948208560736,0.445676326717365,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_body_listening","Spearman",-0.153038989491759,0.304422427856498,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_emotional_awareness","Spearman",-0.0699356620249717,0.640416294607446,0.91488042086778,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_not_distracting","Spearman",0.0482301644094743,0.747503322931075,0.934379153663844,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_not_worrying","Spearman",0.139341885283257,0.350239728884216,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_noticing","Spearman",0.0545160640338947,0.715895244220284,0.924933408019631,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_self_regulation","Spearman",-0.182006877000061,0.220788240795929,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","maia_trusting","Spearman",-0.251061257713397,0.0887131193093895,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","sniffing","Spearman",-0.169815945287265,0.253802412655306,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
"Global robustness matrix","diff_intensity","tas","Spearman",-0.272024974679148,0.0643504671902629,0.879488485008615,"Benjamini-Hochberg FDR across all effect–moderator tests"
